	Coef_pancreas	Gene_name
ENSG00000178163.7	-2.428203156930162	ZNF518B
ENSG00000104722.13	-1.6934850587543846	NEFM
ENSG00000185010.13	1.59328813467226	F8
ENSG00000260015.1	1.4474259972381256	Gene symbol not found
ENSG00000166262.15	-1.157899425099358	FAM227B
ENSG00000159212.12	-1.083970554081267	CLIC6
ENSG00000148082.9	1.011806992421094	SHC3
ENSG00000206195.10	0.9931703265316284	DUXAP8
ENSG00000224945.1	0.9764921524174335	Gene symbol not found
ENSG00000106341.10	0.899607710064941	PPP1R17
ENSG00000119973.5	0.8977753988756486	PRLHR
ENSG00000255408.3	0.889899969295155	PCDHA3
ENSG00000147889.17	0.8765718245731171	CDKN2A
ENSG00000204176.13	-0.8755382122978322	SYT15
ENSG00000258628.1	0.8752770412200287	RHPN2P1
ENSG00000244694.7	0.8591382384763991	PTCHD4
ENSG00000183770.5	0.7822883057952452	FOXL2
ENSG00000255836.1	-0.7431417132755846	Gene symbol not found
ENSG00000229020.4	0.712530384436984	AKR7A2P1
ENSG00000265366.6	0.6934377547399327	GLUD1P2
ENSG00000143355.15	0.6817933880410821	LHX9
ENSG00000088882.7	-0.660029345937934	CPXM1
ENSG00000163071.10	0.6270616534431147	SPATA18
ENSG00000281205.1	-0.6097902522615066	
ENSG00000147027.3	0.585188824270489	TMEM47
ENSG00000213225.7	-0.5780902235290212	NOC2LP1
ENSG00000102796.10	-0.5677001039305009	DHRS12
ENSG00000100867.14	0.4645286939114787	DHRS2
ENSG00000214754.3	-0.4523198601637501	SRSF8CP
ENSG00000198804.2	-0.4248595108388726	MT-CO1
ENSG00000131080.14	0.399655874221376	EDA2R
ENSG00000250218.1	0.3808300584500111	ALDH1L1-AS1
ENSG00000240401.8	0.3614471624075029	
ENSG00000235268.2	-0.3379397499356892	KDM4E
ENSG00000275560.1	0.3292928487006935	
ENSG00000236833.1	0.31415405993642476	Gene symbol not found
ENSG00000204969.6	0.2978287563188163	PCDHA2
ENSG00000272674.3	0.2850535176512435	PCDHB16
ENSG00000200769.1	-0.24031610218513247	Y_RNA
ENSG00000173947.13	-0.2338151379300189	CIMAP3
ENSG00000184378.2	-0.23087979169710127	ACTRT3
ENSG00000255158.1	-0.22893035268588738	Gene symbol not found
ENSG00000054598.6	0.19948525760975086	FOXC1
ENSG00000188011.5	-0.196173014223325	RTP5
ENSG00000100196.10	-0.1672376426874734	KDELR3
ENSG00000124203.6	0.15963086661218234	ZNF831
ENSG00000167281.18	-0.1362515557084632	RBFOX3
ENSG00000272872.1	0.10465381400472624	
ENSG00000176046.8	-0.09302923226480983	NUPR1
