	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.28557904853688776	VENTX
ENSG00000131080.14	0.2522905859453392	EDA2R
ENSG00000252581.1	0.24256507697868185	RNU6-1098P
ENSG00000208005.1	-0.223299681528799	MIR503
ENSG00000267544.1	-0.2079370919199789	HIKESHIP2
ENSG00000255836.1	-0.19681238354398267	Gene symbol not found
ENSG00000197376.2	0.19189395662161157	Gene symbol not found
ENSG00000233429.9	0.1888452778599753	HOTAIRM1
ENSG00000088836.12	0.1819456047792726	SLC4A11
ENSG00000259124.1	-0.17795266610184626	Gene symbol not found
ENSG00000187013.4	0.17304914448788253	LINC02875
ENSG00000207186.1	0.1724062113314857	RNA5SP122
ENSG00000267773.1	-0.1679716408588006	Gene symbol not found
ENSG00000163071.10	0.1678668438778033	SPATA18
ENSG00000280710.2	-0.16548688483344554	
ENSG00000259792.1	0.16465322880897895	Gene symbol not found
ENSG00000267799.1	-0.16366743285336846	MAN1A2P1
ENSG00000228526.6	0.16117518807920705	MIR34AHG
ENSG00000278318.4	-0.15343579460482246	ZNF229
ENSG00000230453.9	0.1531882726181288	ANKRD18B
ENSG00000248476.1	-0.15232174486691077	BACH1-IT1
ENSG00000173908.8	-0.15095047838226638	KRT28
ENSG00000202517.1	-0.1504862125687113	Gene symbol not found
ENSG00000172426.15	-0.14917307563020754	RSPH9
ENSG00000274904.1	-0.1484075249715504	Gene symbol not found
ENSG00000214121.4	-0.1468671795195608	PRDX1P1
ENSG00000254294.1	-0.14637239831468635	IMPDH1P6
ENSG00000248646.1	-0.14546529090044807	
ENSG00000168418.7	0.14436900867573713	KCNG4
ENSG00000230931.2	-0.1420089022064536	GXYLT1P1
ENSG00000196862.9	-0.14194119952515946	RGPD4
ENSG00000283377.1	-0.14022229567518527	Gene symbol not found
ENSG00000258550.1	-0.1401917692811898	OR7E106P
ENSG00000255794.7	0.13911939627610612	RMST
ENSG00000273687.1	0.13839871146995272	Gene symbol not found
ENSG00000277697.1	-0.13746270762622675	
ENSG00000259742.1	-0.13742387164490094	Gene symbol not found
ENSG00000276556.1	-0.1363820684229594	Gene symbol not found
ENSG00000162722.8	-0.13603089204545332	TRIM58
ENSG00000225075.1	0.1341057448234445	Gene symbol not found
ENSG00000253642.5	0.13328905238198796	Gene symbol not found
ENSG00000244308.2	-0.13323307469587642	RN7SL762P
ENSG00000164399.4	-0.1327904978056068	IL3
ENSG00000178343.4	0.13084081401901096	SHISA3
ENSG00000236380.5	-0.12977370205489394	VENTXP7
ENSG00000224566.2	-0.1297368841953707	CIAO2AP2
ENSG00000207010.1	-0.12742263703369036	RNU6-318P
ENSG00000172680.1	-0.12786868908939472	MOS
ENSG00000120289.11	-0.12560284397212543	MAGEB4
ENSG00000134982.16	-0.12539112070681815	APC
