	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6614525406019739	RETNLB
ENSG00000261075.1	-0.6264157555508503	LINC01195
ENSG00000048540.14	0.6147903394939715	LMO3
ENSG00000170381.12	0.5844794635734406	SEMA3E
ENSG00000244694.7	0.5547774636859636	PTCHD4
ENSG00000258641.1	-0.5370845002025383	OR4T1P
ENSG00000196427.13	0.4535086964164116	NBPF4
ENSG00000101977.19	0.4422296790351954	MCF2
ENSG00000252719.1	-0.43811291670615204	Gene symbol not found
ENSG00000270000.1	-0.42313407330328967	Gene symbol not found
ENSG00000261437.1	0.41446750441612806	LINC02894
ENSG00000224846.2	0.4075554961176125	NQO2-AS1
ENSG00000146352.12	0.4023001580745115	CLVS2
ENSG00000265359.1	-0.3955263383766091	Gene symbol not found
ENSG00000249412.1	0.38946202665678975	Gene symbol not found
ENSG00000260804.3	-0.3892560457032982	LINC01963
ENSG00000279348.1	-0.3860391553832706	Gene symbol not found
ENSG00000235595.1	-0.3763339130972896	GAPDHP23
ENSG00000081803.15	0.3758711414631051	CADPS2
ENSG00000134533.6	0.37227787851220906	RERG
ENSG00000242634.1	0.36877291016852237	RPS24P16
ENSG00000201811.1	-0.36617023513069097	SNORA71
ENSG00000236290.1	-0.3515571044062243	EEF1GP7
ENSG00000271321.1	0.34341700630741656	CTAGE6
ENSG00000167104.11	-0.3424936191280767	BPIFB6
ENSG00000277120.5	-0.3365567079827097	MIR6089
ENSG00000257395.1	-0.3345853844261213	Gene symbol not found
ENSG00000229251.3	-0.33240296734402947	HNRNPA1P8
ENSG00000224897.6	0.3309359798000026	POT1-AS1
ENSG00000253147.5	-0.3280350244333715	LINC03023
ENSG00000207494.1	-0.32567930245163373	Y_RNA
ENSG00000224510.2	-0.324420421576017	POLR2KP2
ENSG00000205898.3	0.320097174447943	Gene symbol not found
ENSG00000227413.1	0.310397362279017	Gene symbol not found
ENSG00000105699.16	-0.3021837137788495	LSR
ENSG00000225636.1	0.2988647402667058	HNRNPA3P15
ENSG00000220848.4	0.29206139181177065	RPS18P9
ENSG00000260473.2	-0.288432218396361	Gene symbol not found
ENSG00000270750.1	0.2833241847531002	
ENSG00000182963.9	-0.28274088852108037	GJC1
ENSG00000246130.1	0.2798193716230498	TNFRSF10B-AS1
ENSG00000037757.13	0.27746660704336945	MRI1
ENSG00000183506.17	0.2773167609490613	PI4KAP2
ENSG00000183386.9	-0.2698344245536917	FHL3
ENSG00000105643.9	-0.26981156958801555	ARRDC2
ENSG00000100368.13	-0.26304331272945136	CSF2RB
ENSG00000279645.1	-0.2598540626546286	
ENSG00000270809.1	0.2585517578640931	CHCHD2P11
ENSG00000217414.2	-0.25425482226704527	DDX18P3
ENSG00000224675.1	0.2519894684895369	GALNT13-AS1
