	Coef_lung	Gene_name
ENSG00000178163.7	-0.7358671886226544	ZNF518B
ENSG00000131080.14	0.6850044501727249	EDA2R
ENSG00000145242.13	0.6646103733621009	EPHA5
ENSG00000147889.17	0.6037618079652751	CDKN2A
ENSG00000100285.9	-0.5130934158825269	NEFH
ENSG00000244681.1	0.4531198051275472	MTHFD2P1
ENSG00000100362.12	-0.4429503237689416	PVALB
ENSG00000130876.11	-0.4134529432184641	SLC7A10
ENSG00000022556.15	-0.4097066561720798	NLRP2
ENSG00000263280.1	-0.39784936909128243	Gene symbol not found
ENSG00000160870.12	0.39505121372747887	CYP3A7
ENSG00000102854.15	-0.3919852392512299	MSLN
ENSG00000198542.13	0.39057274285148486	ITGBL1
ENSG00000185090.14	0.38923947060178415	MANEAL
ENSG00000244694.7	0.3884348984423452	PTCHD4
ENSG00000189127.7	-0.3676961142693202	ANKRD34B
ENSG00000186642.15	-0.3626648315151734	PDE2A
ENSG00000187730.8	0.36240065177962927	GABRD
ENSG00000230267.7	-0.36234167485057106	HERC2P4
ENSG00000244593.1	-0.34461932356452546	Gene symbol not found
ENSG00000185088.13	0.34090966491357966	RPS27L
ENSG00000180543.4	-0.3376158960141659	TSPYL5
ENSG00000102452.15	0.33615255209844197	NALCN
ENSG00000254198.1	-0.32769193808989927	Gene symbol not found
ENSG00000257550.1	-0.3275908977600677	Gene symbol not found
ENSG00000257194.2	0.3267073934794996	
ENSG00000170549.3	-0.32329102550599154	IRX1
ENSG00000112852.6	0.31776106447651425	PCDHB2
ENSG00000143839.14	-0.31604953729273655	REN
ENSG00000273203.1	0.3137839555206107	
ENSG00000080224.17	0.30571708643895007	EPHA6
ENSG00000196109.6	0.30553686905253075	ZNF676
ENSG00000272070.1	0.3038340055428055	
ENSG00000141576.14	0.30116252245274283	RNF157
ENSG00000267733.5	0.2941236088519233	Gene symbol not found
ENSG00000267643.1	0.2882555493214842	
ENSG00000277382.1	0.2851807882991328	Gene symbol not found
ENSG00000226822.2	-0.2822694327425764	
ENSG00000113319.12	0.2801987692399332	RASGRF2
ENSG00000101255.10	0.28001182574459005	TRIB3
ENSG00000162039.14	-0.2796061553069166	MEIOB
ENSG00000174672.15	0.27945605546704166	BRSK2
ENSG00000106868.16	-0.27646972852796337	SUSD1
ENSG00000283913.1	-0.27631869658918395	Gene symbol not found
ENSG00000259134.5	0.2638734830296069	LINC00924
ENSG00000064205.10	0.262506894803468	CCN5
ENSG00000283145.1	-0.2611010765988403	Gene symbol not found
ENSG00000081818.3	0.2601877971650901	PCDHB4
ENSG00000242173.8	0.2596693777891543	ARHGDIG
ENSG00000138795.9	-0.2535349460045158	LEF1
