	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3975076613401593	PTCHD4
ENSG00000105707.13	0.36470449240011976	HPN
ENSG00000272721.5	-0.35023952703025696	EIF2B5-DT
ENSG00000268758.7	0.3435582481846473	ADGRE4P
ENSG00000198099.8	0.33239744833505974	ADH4
ENSG00000276656.1	-0.327484441463218	MIR6083
ENSG00000275532.1	-0.3270352609838528	Gene symbol not found
ENSG00000267225.1	-0.32242295173716784	WDR7-OT1
ENSG00000253439.1	0.31773954418950356	CDC42P5
ENSG00000162753.11	-0.3146800019033926	SLC9C2
ENSG00000236345.1	0.3113838993957219	SCAT8
ENSG00000229124.6	0.30912955996414543	VIM-AS1
ENSG00000253549.5	-0.3077375506975871	CA3-AS1
ENSG00000176219.2	-0.3047616054381448	OR11H6
ENSG00000270947.1	-0.30418199707058735	Gene symbol not found
ENSG00000258992.6	-0.29400918235541734	TSPY1
ENSG00000273870.1	-0.2913916641181063	Gene symbol not found
ENSG00000250337.5	0.2876531825377615	PURPL
ENSG00000149403.12	0.2827047091375508	GRIK4
ENSG00000131080.14	0.28007178617220396	EDA2R
ENSG00000145107.15	-0.27855329217990593	TM4SF19
ENSG00000282692.1	0.27457295969504447	Gene symbol not found
ENSG00000272872.1	0.2731975285909365	
ENSG00000093072.15	-0.2715035324827244	ADA2
ENSG00000229891.1	0.26858002744135817	LINC01315
ENSG00000263276.1	0.26186550588985263	Gene symbol not found
ENSG00000146070.16	-0.25917649123380115	PLA2G7
ENSG00000105711.11	0.2515769751627931	SCN1B
ENSG00000076944.15	-0.2456721448279365	STXBP2
ENSG00000273143.1	0.24497724799157	DUSP5-DT
ENSG00000260144.1	0.24220958976816323	Gene symbol not found
ENSG00000271734.1	0.2412669879173149	
ENSG00000124762.13	0.2406814614651641	CDKN1A
ENSG00000170231.15	0.23740848100408676	FABP6
ENSG00000057657.15	0.23604372980880253	PRDM1
ENSG00000240160.3	0.23537958382417423	RN7SL263P
ENSG00000232530.1	0.23464574606359073	LIF-AS1
ENSG00000184895.7	-0.23453817725938003	SRY
ENSG00000241346.1	0.23297497525861394	SNRPCP11
ENSG00000222714.1	0.23225445424330118	RN7SKP38
ENSG00000178343.4	0.22888404893563022	SHISA3
ENSG00000271600.1	-0.22689295118398944	Gene symbol not found
ENSG00000253894.1	-0.22688275580611844	Gene symbol not found
ENSG00000232732.9	0.22630023310610406	Gene symbol not found
ENSG00000254281.1	-0.22515265918762753	
ENSG00000178538.9	-0.2248548575316837	CA8
ENSG00000262362.1	0.22061951153211676	Gene symbol not found
ENSG00000258740.1	0.22023070294210195	Gene symbol not found
ENSG00000036672.15	0.2197487341714541	USP2
