	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3917647052792067	PTCHD4
ENSG00000272721.5	-0.36093180734286456	EIF2B5-DT
ENSG00000105707.13	0.35776112780200686	HPN
ENSG00000268758.7	0.3445468153314297	ADGRE4P
ENSG00000276656.1	-0.3348427772135977	MIR6083
ENSG00000198099.8	0.3326661970025106	ADH4
ENSG00000267225.1	-0.3270036154475014	WDR7-OT1
ENSG00000275532.1	-0.32347521652395955	Gene symbol not found
ENSG00000253439.1	0.322401896987446	CDC42P5
ENSG00000162753.11	-0.32164097628504906	SLC9C2
ENSG00000236345.1	0.3140776113102355	SCAT8
ENSG00000253549.5	-0.3089946816421844	CA3-AS1
ENSG00000229124.6	0.3061193951029839	VIM-AS1
ENSG00000270947.1	-0.30440415378719166	Gene symbol not found
ENSG00000176219.2	-0.291476264959659	OR11H6
ENSG00000258992.6	-0.2911228672195974	TSPY1
ENSG00000273870.1	-0.29081574483446787	Gene symbol not found
ENSG00000250337.5	0.2899606019053297	PURPL
ENSG00000149403.12	0.28690420981021836	GRIK4
ENSG00000272872.1	0.2844522104802748	
ENSG00000131080.14	0.28088775992007425	EDA2R
ENSG00000282692.1	0.2786142452436209	Gene symbol not found
ENSG00000145107.15	-0.27826170768128805	TM4SF19
ENSG00000229891.1	0.2660190632834786	LINC01315
ENSG00000093072.15	-0.2654088623682695	ADA2
ENSG00000263276.1	0.26472037017139965	Gene symbol not found
ENSG00000146070.16	-0.2540419432840507	PLA2G7
ENSG00000105711.11	0.2513282586925854	SCN1B
ENSG00000271734.1	0.24652046327739074	
ENSG00000273143.1	0.24513702779752705	DUSP5-DT
ENSG00000260144.1	0.24195450468220006	Gene symbol not found
ENSG00000178343.4	0.23951457408345458	SHISA3
ENSG00000124762.13	0.23941777898780425	CDKN1A
ENSG00000240160.3	0.239390830084532	RN7SL263P
ENSG00000076944.15	-0.23753189478742973	STXBP2
ENSG00000241346.1	0.23648928165120664	SNRPCP11
ENSG00000057657.15	0.2343169806361146	PRDM1
ENSG00000232530.1	0.23327763573764648	LIF-AS1
ENSG00000184895.7	-0.23116180448501616	SRY
ENSG00000178538.9	-0.23096103572962015	CA8
ENSG00000170231.15	0.2293494939846117	FABP6
ENSG00000253894.1	-0.2288435868941388	Gene symbol not found
ENSG00000222714.1	0.2276683292643781	RN7SKP38
ENSG00000271600.1	-0.22572008795361304	Gene symbol not found
ENSG00000232732.9	0.22479002311971674	Gene symbol not found
ENSG00000279846.1	0.2244166955198195	Gene symbol not found
ENSG00000254281.1	-0.22121242996955978	
ENSG00000262362.1	0.21821069668751966	Gene symbol not found
ENSG00000258740.1	0.2177863330413449	Gene symbol not found
