	Coef_nerve_tibial	Gene_name
ENSG00000072041.16	0.4953854202784921	SLC6A15
ENSG00000204764.13	-0.40222481141167843	RANBP17
ENSG00000237125.8	0.4015512544205788	HAND2-AS1
ENSG00000196109.6	0.3958624418117887	ZNF676
ENSG00000131080.14	0.38682208963287856	EDA2R
ENSG00000178163.7	-0.38364941994404655	ZNF518B
ENSG00000171551.11	-0.37556361445251785	ECEL1
ENSG00000244681.1	0.3718678197149128	MTHFD2P1
ENSG00000244694.7	0.3614850212749749	PTCHD4
ENSG00000204876.4	0.34973793376656265	Gene symbol not found
ENSG00000196767.6	0.339842770208655	POU3F4
ENSG00000184905.8	0.327304855213571	TCEAL2
ENSG00000164107.8	0.32400631530890234	HAND2
ENSG00000100285.9	-0.32122984759331863	NEFH
ENSG00000163564.14	0.31583231797483036	PYHIN1
ENSG00000128710.5	0.3054081907680567	HOXD10
ENSG00000040731.10	0.29499928417537646	CDH10
ENSG00000128713.13	0.293973077864221	HOXD11
ENSG00000164690.7	0.2850318150817689	SHH
ENSG00000189233.11	0.2739164218760659	NUGGC
ENSG00000250957.1	0.2570999835135882	
ENSG00000008196.12	0.2347700442830426	TFAP2B
ENSG00000136944.17	-0.23343653328667546	LMX1B
ENSG00000180347.13	0.23224326375321241	ITPRID1
ENSG00000152467.9	-0.23094133829493044	ZSCAN1
ENSG00000112319.17	0.22901978434738196	EYA4
ENSG00000203797.9	0.22792760367761922	DDO
ENSG00000134853.11	-0.22622542995561246	PDGFRA
ENSG00000226711.6	-0.21910475216696013	FAM66C
ENSG00000176658.16	0.21863505459046603	MYO1D
ENSG00000204519.10	-0.21556244738563096	ZNF551
ENSG00000179909.15	-0.2146029098419688	ZNF154
ENSG00000186205.12	0.2115606756693012	MTARC1
ENSG00000172667.10	0.211133331667388	ZMAT3
ENSG00000179399.14	0.21096569017678304	GPC5
ENSG00000162461.7	0.2079017305514829	SLC25A34
ENSG00000121335.11	0.20734388475726648	PRB2
ENSG00000159496.14	-0.20288119306845123	RGL4
ENSG00000181023.6	0.2011078344434881	OR56B1
ENSG00000184144.11	0.20101888974315324	CNTN2
ENSG00000168556.6	-0.19864533596220943	ING2
ENSG00000259236.1	0.19771308047128563	GOLGA8VP
ENSG00000261587.2	0.19595384905766777	TMEM249
ENSG00000272872.1	0.19581397722384578	
ENSG00000250337.5	0.1927777813939738	PURPL
ENSG00000228971.2	-0.19181300022590134	LINC02607
ENSG00000213642.3	-0.19076457662555074	Gene symbol not found
ENSG00000101203.16	0.18958505542438908	COL20A1
ENSG00000124205.15	-0.18898056585449544	EDN3
ENSG00000249388.1	-0.18818262130577704	FLJ12825
