	Coef_artery_aorta	Gene_name
ENSG00000081803.15	0.20729309489462747	CADPS2
ENSG00000126878.12	-0.15702147026308597	AIF1L
ENSG00000244694.7	0.1521280428233531	PTCHD4
ENSG00000168779.19	0.1495505813669822	SHOX2
ENSG00000244681.1	0.14712841475523764	MTHFD2P1
ENSG00000185272.13	0.144605227508503	RBM11
ENSG00000281706.2	-0.14460346951344208	LINC01012
ENSG00000186472.19	0.14184502945251648	PCLO
ENSG00000261786.1	-0.14076778430196585	Gene symbol not found
ENSG00000232860.7	-0.13900929273774468	SMG7-AS1
ENSG00000082556.10	-0.1375143457898988	OPRK1
ENSG00000064205.10	0.13188796587533566	CCN5
ENSG00000151474.21	-0.13184716155049475	FRMD4A
ENSG00000048540.14	0.12830564851878842	LMO3
ENSG00000050555.17	-0.12631442887937844	LAMC3
ENSG00000196090.12	-0.12561545223154183	PTPRT
ENSG00000072041.16	0.12381030645524449	SLC6A15
ENSG00000266050.2	-0.12197545003419578	Gene symbol not found
ENSG00000258695.2	0.12148909665039	Gene symbol not found
ENSG00000267504.1	0.12019287906499322	Gene symbol not found
ENSG00000198732.10	-0.11919297816838118	SMOC1
ENSG00000206828.1	-0.11771535855054163	RNVU1-30
ENSG00000254585.2	-0.11704142155478332	MAGEL2
ENSG00000278530.4	0.11424556217155761	CHMP1B2P
ENSG00000273036.2	0.11415124051648724	CYP4F33P
ENSG00000215529.12	0.11253277484571927	EFCAB8
ENSG00000151948.11	-0.11137977022675949	GLT1D1
ENSG00000137968.16	-0.11057778271843458	SLC44A5
ENSG00000165325.13	0.11028053848178246	DEUP1
ENSG00000258675.1	-0.10850030317952959	LINC02308
ENSG00000239268.2	-0.10818623496725803	LINC03051
ENSG00000231784.8	-0.10699123190706009	DBIL5P
ENSG00000184500.14	0.10535835133019185	PROS1
ENSG00000188191.14	-0.10515256977597798	PRKAR1B
ENSG00000250361.7	0.10449139402860058	GYPB
ENSG00000086717.18	0.10437341213459964	PPEF1
ENSG00000280435.1	-0.10392212421663591	Gene symbol not found
ENSG00000179083.6	0.10280965498761188	FAM133A
ENSG00000276107.1	0.10188476407001687	THBS1-IT1
ENSG00000230267.7	-0.1016165894826841	HERC2P4
ENSG00000171403.9	-0.09965181355800919	KRT9
ENSG00000167693.16	-0.0989100980683834	NXN
ENSG00000176049.15	0.09814529874421474	JAKMIP2
ENSG00000236155.6	-0.09810990356082644	ZPLD2P
ENSG00000249693.2	0.09749058379682277	SPMAP2L
ENSG00000067221.13	0.09738760726793559	STOML1
ENSG00000131941.7	-0.09662585215009768	RHPN2
ENSG00000215105.4	0.09608016376725668	TTC3P1
ENSG00000162738.5	-0.0958599777173577	VANGL2
ENSG00000172818.9	0.0950241187892152	OVOL1
