	Coef_skin_sun_exposed_lower_leg	Gene_name
ENSG00000156959.8	2.2161737163432425	LHFPL4
ENSG00000070019.4	1.1165090352389275	GUCY2C
ENSG00000048540.14	1.0374813564777288	LMO3
ENSG00000154162.14	-1.0096104321235184	CDH12
ENSG00000255442.1	0.8947277090893648	Gene symbol not found
ENSG00000104044.15	-0.8394928943481633	OCA2
ENSG00000278318.4	-0.8004356095943327	ZNF229
ENSG00000124253.10	-0.768039179924961	PCK1
ENSG00000224810.1	-0.7600964225643807	Gene symbol not found
ENSG00000244694.7	0.7401624119742913	PTCHD4
ENSG00000181690.7	-0.7079406796798124	PLAG1
ENSG00000246627.6	0.6933713589604535	
ENSG00000226057.6	0.6179322535255347	PHF2P2
ENSG00000114378.16	0.5863206121842485	HYAL1
ENSG00000267733.5	0.57994400922436	Gene symbol not found
ENSG00000176998.4	0.5755380664854515	HCG4
ENSG00000180155.19	-0.571249812778563	LYNX1
ENSG00000007372.21	0.5658170385188529	PAX6
ENSG00000185008.17	-0.5484955558853237	ROBO2
ENSG00000112333.11	0.5421576834424376	NR2E1
ENSG00000271447.5	0.5386232428428611	MMP28
ENSG00000207296.1	0.5318854656044314	RNU6-140P
ENSG00000229375.1	0.5279775727507996	USP24P1
ENSG00000176153.11	-0.5260269986683924	GPX2
ENSG00000261104.1	-0.5233050817721646	Gene symbol not found
ENSG00000110092.3	0.5130091202196619	CCND1
ENSG00000100321.14	-0.4986367949984859	SYNGR1
ENSG00000267508.5	-0.497084762325188	ZNF285
ENSG00000072818.11	0.4510225547648831	ACAP1
ENSG00000254043.1	-0.4425935740455002	Gene symbol not found
ENSG00000179151.11	-0.44146445540090484	EDC3
ENSG00000105520.10	-0.44136738788782487	PLPPR2
ENSG00000235961.5	-0.4402605808529901	PNMA6A
ENSG00000136378.14	0.4283950620927131	ADAMTS7
ENSG00000164099.3	-0.4242931459371751	PRSS12
ENSG00000235903.7	-0.422323324068651	CPB2-AS1
ENSG00000114405.10	-0.4136085024260443	CEP15
ENSG00000172667.10	0.40862993921271334	ZMAT3
ENSG00000112852.6	0.40568234698358535	PCDHB2
ENSG00000143320.8	0.3964643207225208	CRABP2
ENSG00000162722.8	0.3923887969756866	TRIM58
ENSG00000163564.14	0.39218683296145906	PYHIN1
ENSG00000146521.9	0.38575298691077753	
ENSG00000235933.1	0.37692789100613716	LINC01779
ENSG00000278937.1	-0.37150464227454827	
ENSG00000184990.12	-0.3705557135451019	SIVA1
ENSG00000128311.13	0.3687218013755367	TST
ENSG00000158023.9	0.3602610240614883	CFAP251
ENSG00000230587.1	0.3575172549975819	LINC02580
