	Coef_liver	Coef_artery_aorta	Coef_artery_coronary	Coef_brain_cortex	Coef_brain_cerebellum	Coef_heart_atrial_appendage	Coef_adipose_subcutaneous	Coef_lung	Coef_skin_sun_exposed_lower_leg	Coef_nerve_tibial	Coef_colon_sigmoid	Coef_pancreas	Gene_name
ENSG00000244694.7		0.15506296713328085	0.5383587686589723			0.5788346407544201	0.42774211409057905	0.3912821314422084	0.7597991771521523	0.3625098909614181	0.37921887246446684	0.864906709627506	PTCHD4
ENSG00000131080.14				0.25274324498758394		0.6135103398811393	0.31414624927457035	0.6874631884500596		0.3855065665828031	0.26957354838771663	0.42032048723750864	EDA2R
ENSG00000244681.1		0.14834568404066045				0.5599422108084989		0.451566161772466		0.3689655393284932	0.25585148265497565		MTHFD2P1
ENSG00000048540.14		0.1296753455158925	0.6109541961859946			0.37709344847164683	1.0908742077220692		1.023431087509114				LMO3
ENSG00000228526.6				0.16173274375679017		0.32294927543697616	0.407290202590314				0.3995982228844695		MIR34AHG
ENSG00000178163.7							-0.7043775493825677	-0.7328435958675198		-0.38083855967277025		-2.4155069967684484	ZNF518B
ENSG00000081803.15		0.20800496273156538	0.3745555197816778								0.1747499895512451		CADPS2
ENSG00000278530.4		0.1084217774440449					0.4432693622707421				0.1631895971550898		CHMP1B2P
ENSG00000255836.1				-0.19942033526144431			-0.49877885487872586					-0.777735570121813	Gene symbol not found
ENSG00000163071.10				0.1674740105837546		0.29149649567997477						0.6101255477523732	SPATA18
ENSG00000250337.5						0.5298427967298421				0.1916530727825976	0.2642027429479305		PURPL
ENSG00000080224.17						0.4574049853752123		0.31021124670756256		0.19143323874067542			EPHA6
ENSG00000112319.17							1.4942644584658558			0.23201193577120652	0.4136352218899081		EYA4
ENSG00000172667.10							0.3051983380855109		0.41267973488765314	0.20611766440590212			ZMAT3
ENSG00000147889.17								0.599521858278022			0.2991240639739433	0.9006488896459485	CDKN2A
ENSG00000196109.6								0.29951544833267546		0.3937991134857393	0.1805006016494094		ZNF676
