	Coef_artery_coronary	Gene_name
ENSG00000163515.6	-0.6762438899005867	RETNLB
ENSG00000261075.1	-0.6467132278027657	LINC01195
ENSG00000048540.14	0.6227999427623011	LMO3
ENSG00000170381.12	0.589830204967976	SEMA3E
ENSG00000244694.7	0.5604087633505161	PTCHD4
ENSG00000258641.1	-0.5494668753569005	OR4T1P
ENSG00000196427.13	0.4662379132082097	NBPF4
ENSG00000101977.19	0.4422989777241399	MCF2
ENSG00000270000.1	-0.4351317706092105	Gene symbol not found
ENSG00000261437.1	0.4168157791722119	LINC02894
ENSG00000265359.1	-0.4058882354933689	Gene symbol not found
ENSG00000252719.1	-0.4050286754577683	Gene symbol not found
ENSG00000224846.2	0.4031424332966364	NQO2-AS1
ENSG00000146352.12	0.39801835745853736	CLVS2
ENSG00000249412.1	0.3880614445238997	Gene symbol not found
ENSG00000260804.3	-0.3872440238143543	LINC01963
ENSG00000279348.1	-0.37564384527306754	Gene symbol not found
ENSG00000201811.1	-0.37297505608553555	SNORA71
ENSG00000242634.1	0.372531081039874	RPS24P16
ENSG00000081803.15	0.3692393234358918	CADPS2
ENSG00000134533.6	0.36704662922022424	RERG
ENSG00000235595.1	-0.36669190456246714	GAPDHP23
ENSG00000236290.1	-0.35946544295664945	EEF1GP7
ENSG00000271321.1	0.3543355428829205	CTAGE6
ENSG00000207494.1	-0.3423153253389622	Y_RNA
ENSG00000253147.5	-0.33527583081873236	LINC03023
ENSG00000229251.3	-0.3336701630662551	HNRNPA1P8
ENSG00000224510.2	-0.32667536973338224	POLR2KP2
ENSG00000167104.11	-0.3260079076938447	BPIFB6
ENSG00000257395.1	-0.3181151117413935	Gene symbol not found
ENSG00000224897.6	0.3169352232475916	POT1-AS1
ENSG00000277120.5	-0.31389544469967534	MIR6089
ENSG00000205898.3	0.313431115541398	Gene symbol not found
ENSG00000227413.1	0.3129893893195999	Gene symbol not found
ENSG00000220848.4	0.3101742454179429	RPS18P9
ENSG00000105699.16	-0.30174086490395524	LSR
ENSG00000225636.1	0.3003932690006692	HNRNPA3P15
ENSG00000270750.1	0.29591542353476485	
ENSG00000037757.13	0.2857556245169284	MRI1
ENSG00000183506.17	0.2841194081623466	PI4KAP2
ENSG00000246130.1	0.28376279505198976	TNFRSF10B-AS1
ENSG00000260473.2	-0.2822724525652531	Gene symbol not found
ENSG00000182963.9	-0.2763516032200509	GJC1
ENSG00000217414.2	-0.2738444844582739	DDX18P3
ENSG00000270809.1	0.27167069919710407	CHCHD2P11
ENSG00000105643.9	-0.269527765066796	ARRDC2
ENSG00000183386.9	-0.2670389946923691	FHL3
ENSG00000279645.1	-0.2660926993086565	
ENSG00000259005.1	-0.26291406761442687	Gene symbol not found
ENSG00000100368.13	-0.2612982071133421	CSF2RB
