	Coef_adrenal_gland	Gene_name
ENSG00000244694.7	0.3959009674520729	PTCHD4
ENSG00000105707.13	0.3656408401388402	HPN
ENSG00000272721.5	-0.34833582114323525	EIF2B5-DT
ENSG00000268758.7	0.34023594031312715	ADGRE4P
ENSG00000276656.1	-0.33129614065533414	MIR6083
ENSG00000275532.1	-0.3272021595627174	Gene symbol not found
ENSG00000198099.8	0.32562739954300773	ADH4
ENSG00000162753.11	-0.32309906589135534	SLC9C2
ENSG00000253439.1	0.31518306989571887	CDC42P5
ENSG00000267225.1	-0.3119728871364469	WDR7-OT1
ENSG00000253549.5	-0.3080272680679428	CA3-AS1
ENSG00000236345.1	0.3067658329186959	SCAT8
ENSG00000229124.6	0.30646912148481614	VIM-AS1
ENSG00000270947.1	-0.302978421351323	Gene symbol not found
ENSG00000258992.6	-0.30072051365141406	TSPY1
ENSG00000176219.2	-0.29447338890132824	OR11H6
ENSG00000273870.1	-0.28849823766262067	Gene symbol not found
ENSG00000250337.5	0.2880345890437932	PURPL
ENSG00000131080.14	0.2821907367562605	EDA2R
ENSG00000272872.1	0.28179712446977745	
ENSG00000149403.12	0.27948664627670144	GRIK4
ENSG00000145107.15	-0.2710092411951929	TM4SF19
ENSG00000263276.1	0.2683264579340322	Gene symbol not found
ENSG00000093072.15	-0.2681649695257231	ADA2
ENSG00000229891.1	0.2651775193575275	LINC01315
ENSG00000282692.1	0.2643662664327827	Gene symbol not found
ENSG00000146070.16	-0.26237838982518463	PLA2G7
ENSG00000271734.1	0.2459815870656656	
ENSG00000105711.11	0.2433806054257228	SCN1B
ENSG00000273143.1	0.24059026424553118	DUSP5-DT
ENSG00000076944.15	-0.23969041026809915	STXBP2
ENSG00000170231.15	0.23778239206044366	FABP6
ENSG00000240160.3	0.23717671529438947	RN7SL263P
ENSG00000124762.13	0.23663316391063494	CDKN1A
ENSG00000253894.1	-0.2365145042403482	Gene symbol not found
ENSG00000178343.4	0.23514442640240737	SHISA3
ENSG00000232732.9	0.23501310171730644	Gene symbol not found
ENSG00000184895.7	-0.23395255279694163	SRY
ENSG00000057657.15	0.23303473968602118	PRDM1
ENSG00000241346.1	0.2317373338989163	SNRPCP11
ENSG00000260144.1	0.2316843106849376	Gene symbol not found
ENSG00000254281.1	-0.2310117264616453	
ENSG00000232530.1	0.2297071843379743	LIF-AS1
ENSG00000222714.1	0.22782546354310812	RN7SKP38
ENSG00000262362.1	0.221365144865644	Gene symbol not found
ENSG00000178538.9	-0.21975665133248715	CA8
ENSG00000271600.1	-0.21938166238867307	Gene symbol not found
ENSG00000106025.8	0.21927945794657067	TSPAN12
ENSG00000036672.15	0.21799090718697597	USP2
