	Coef_liver	Gene_name
ENSG00000242573.1	-0.37573424529908545	ACTR3P3
ENSG00000219702.1	-0.3159142923200376	Gene symbol not found
ENSG00000114631.10	-0.3129521784203593	PODXL2
ENSG00000261570.1	-0.2762048898257539	AGK-DT
ENSG00000222426.1	-0.27258718492894385	RNU2-50P
ENSG00000259326.1	0.2542549643838627	Gene symbol not found
ENSG00000254345.1	-0.25253988665625354	IGKV2D-23
ENSG00000271209.1	0.24661513374815147	BRDTP1
ENSG00000256436.1	0.24380205879903472	TAS2R31
ENSG00000253604.1	-0.24155110988294598	Gene symbol not found
ENSG00000226703.1	-0.23246013892896844	NPM1P4
ENSG00000283205.1	-0.2306375648555485	Gene symbol not found
ENSG00000235118.7	-0.2224480730137815	FAM237A
ENSG00000260877.2	0.22241587190186093	Gene symbol not found
ENSG00000228262.8	0.22048739105096796	LINC01320
ENSG00000283288.1	-0.2189093699621618	SMIM33
ENSG00000231066.3	-0.2104442341945264	NPM1P9
ENSG00000237631.2	0.209970879676268	PARK7P2
ENSG00000264685.1	-0.2056610151754981	PRPF19P1
ENSG00000238835.1	-0.20480247927429868	SCARNA18
ENSG00000250480.3	-0.20062654031410834	RLIG1P1
ENSG00000233057.1	0.19904318198001733	EEF1A1P14
ENSG00000103200.6	-0.19810672124047335	Gene symbol not found
ENSG00000227240.1	0.196766872348892	Gene symbol not found
ENSG00000248647.2	0.19659436219650742	Gene symbol not found
ENSG00000108417.3	-0.1950732679530953	KRT37
ENSG00000273989.1	0.19002832786978185	Gene symbol not found
ENSG00000283098.1	0.18764031135652284	Gene symbol not found
ENSG00000259845.1	-0.18760935701470868	HERC2P10
ENSG00000255147.1	-0.18752194894578772	EVA1CP4
ENSG00000231849.1	-0.186774308498751	UBE2V2P4
ENSG00000214185.3	-0.1844934036315011	XPOTP1
ENSG00000159247.13	0.18058354032389615	TUBBP5
ENSG00000152977.9	0.17994434025058126	ZIC1
ENSG00000225370.1	-0.17679378278048344	Gene symbol not found
ENSG00000254106.1	-0.17658641111968745	LINC01848
ENSG00000205220.11	-0.17589858822196028	PSMB10
ENSG00000239958.3	-0.17560391051462307	RN7SL51P
ENSG00000180855.15	0.17529561907900726	ZNF443
ENSG00000236062.1	0.17526063231673297	GSTM5P1
ENSG00000227814.3	0.17273865041905767	MRPS17P9
ENSG00000102053.12	0.17192849258600476	ZC3H12B
ENSG00000277474.1	-0.17100730381950566	MIR6894
ENSG00000188738.14	0.17028570556389896	FSIP2
ENSG00000179873.14	0.1677695327548857	NLRP11
ENSG00000284242.1	-0.16506741192025787	Gene symbol not found
ENSG00000150873.11	-0.16263860753050507	C2orf50
ENSG00000081800.8	-0.16149526151413718	SLC13A1
ENSG00000272275.1	-0.16018646757610455	Gene symbol not found
ENSG00000171747.8	0.15995688450805637	LGALS4
