	Coef_heart_atrial_appendage	Gene_name
ENSG00000261292.2	0.7459007405160972	Gene symbol not found
ENSG00000177791.11	0.7069813574214406	MYOZ1
ENSG00000151136.14	-0.6774377688783603	ABTB3
ENSG00000131080.14	0.6204392339859295	EDA2R
ENSG00000228034.1	-0.6143347955779105	HMGN2P21
ENSG00000226816.2	-0.6018295536236062	Gene symbol not found
ENSG00000244694.7	0.5799028129247573	PTCHD4
ENSG00000102924.11	-0.5764626180545728	CBLN1
ENSG00000074211.13	-0.5694532688558128	PPP2R2C
ENSG00000244681.1	0.5550894829962603	MTHFD2P1
ENSG00000250337.5	0.5342163045839505	PURPL
ENSG00000234546.3	0.5010879919459759	LNCTAM34A
ENSG00000222705.1	-0.49219855720151057	RN7SKP39
ENSG00000163898.9	0.49080208605890263	LIPH
ENSG00000138650.8	0.48075468363665824	PCDH10
ENSG00000250241.5	0.47128984536060886	PCDH10-DT
ENSG00000080224.17	0.46775468964628336	EPHA6
ENSG00000133640.18	0.45838792640555565	LRRIQ1
ENSG00000237978.5	0.4574379901082707	KCNMB2-AS1
ENSG00000178075.19	0.45072364695932476	GRAMD1C
ENSG00000171094.16	0.43628414283749417	ALK
ENSG00000111664.10	0.42319686730085904	GNB3
ENSG00000164695.4	-0.41944295068969983	CHMP4C
ENSG00000244306.10	0.4101864147161607	DUXAP10
ENSG00000235570.1	-0.40644127638649413	LINC00533
ENSG00000167766.18	-0.39915650811473763	ZNF83
ENSG00000133816.13	0.39416966271528625	MICAL2
ENSG00000242173.8	0.3887309981252058	ARHGDIG
ENSG00000181104.6	-0.3870238435144757	F2R
ENSG00000249738.8	-0.37824811231457417	Gene symbol not found
ENSG00000273356.1	0.3781253397508438	LINC02019
ENSG00000048540.14	0.37554086486184435	LMO3
ENSG00000151746.13	-0.3739650210243657	BICD1
ENSG00000174326.11	-0.36126051550641564	SLC16A11
ENSG00000106302.9	0.3559172818637486	HYAL4
ENSG00000163453.11	-0.34590530291259286	IGFBP7
ENSG00000228526.6	0.3287703752785691	MIR34AHG
ENSG00000233613.5	0.32744744422066263	DCUN1D2-AS
ENSG00000186105.7	-0.3233953020439043	LRRC70
ENSG00000182492.15	-0.3230383049246431	BGN
ENSG00000228828.1	0.32135363259045857	TLK2P2
ENSG00000073060.15	0.309574322766713	SCARB1
ENSG00000280234.1	0.30710490981754673	Gene symbol not found
ENSG00000145246.13	-0.30151001006006534	ATP10D
ENSG00000259054.1	-0.29983479443761446	LINC02332
ENSG00000225210.9	0.2977879249224965	DUXAP9
ENSG00000163071.10	0.29651677137914284	SPATA18
ENSG00000122176.10	-0.29598493975203694	FMOD
ENSG00000204387.12	-0.29192470866217796	SNHG32
