	Coef_lung	Gene_name
ENSG00000178163.7	-0.7332443302969536	ZNF518B
ENSG00000131080.14	0.6892154404009925	EDA2R
ENSG00000145242.13	0.67279855027864	EPHA5
ENSG00000147889.17	0.6012200888205506	CDKN2A
ENSG00000100285.9	-0.5129723686260497	NEFH
ENSG00000100362.12	-0.4596757945195311	PVALB
ENSG00000244681.1	0.4526296831846348	MTHFD2P1
ENSG00000022556.15	-0.4175530445805492	NLRP2
ENSG00000130876.11	-0.4110629982147789	SLC7A10
ENSG00000263280.1	-0.40494245153934766	Gene symbol not found
ENSG00000102854.15	-0.39592524624546127	MSLN
ENSG00000160870.12	0.3929510536724076	CYP3A7
ENSG00000185090.14	0.39219875924574027	MANEAL
ENSG00000198542.13	0.39216926553836756	ITGBL1
ENSG00000244694.7	0.39189838507610386	PTCHD4
ENSG00000189127.7	-0.3733164940569959	ANKRD34B
ENSG00000187730.8	0.3724990607604921	GABRD
ENSG00000186642.15	-0.3608250362298224	PDE2A
ENSG00000230267.7	-0.36070526921945756	HERC2P4
ENSG00000244593.1	-0.3467513320001548	Gene symbol not found
ENSG00000185088.13	0.34659325560850573	RPS27L
ENSG00000257550.1	-0.337224214661519	Gene symbol not found
ENSG00000102452.15	0.3345498418194439	NALCN
ENSG00000254198.1	-0.3339140167711724	Gene symbol not found
ENSG00000180543.4	-0.3281861791232113	TSPYL5
ENSG00000257194.2	0.3249723224820516	
ENSG00000112852.6	0.31936237833529574	PCDHB2
ENSG00000170549.3	-0.3183849634580814	IRX1
ENSG00000272070.1	0.3152413755332377	
ENSG00000143839.14	-0.3133865545271681	REN
ENSG00000080224.17	0.3131103998905631	EPHA6
ENSG00000273203.1	0.31076521065223184	
ENSG00000141576.14	0.3059400647943302	RNF157
ENSG00000267733.5	0.2976239019188746	Gene symbol not found
ENSG00000196109.6	0.2967119427175651	ZNF676
ENSG00000267643.1	0.2893486134990667	
ENSG00000101255.10	0.284086555996508	TRIB3
ENSG00000174672.15	0.28380185372494815	BRSK2
ENSG00000277382.1	0.2826146918049973	Gene symbol not found
ENSG00000226822.2	-0.28118634434442125	
ENSG00000113319.12	0.2760850874779407	RASGRF2
ENSG00000162039.14	-0.27193910901510343	MEIOB
ENSG00000283913.1	-0.27056255874703783	Gene symbol not found
ENSG00000106868.16	-0.2703601229184769	SUSD1
ENSG00000229915.1	-0.26422106002094814	Gene symbol not found
ENSG00000235821.1	0.261776306884028	IFITM4P
ENSG00000259134.5	0.2605224242220683	LINC00924
ENSG00000064205.10	0.2604916278274273	CCN5
ENSG00000081818.3	0.2582604445477544	PCDHB4
ENSG00000251411.1	0.25419361326907486	ARPC1AP4
