	Coef_brain_cortex	Gene_name
ENSG00000151650.7	0.2857847063059719	VENTX
ENSG00000131080.14	0.25511309183949504	EDA2R
ENSG00000252581.1	0.24231877654770193	RNU6-1098P
ENSG00000208005.1	-0.21004402889429016	MIR503
ENSG00000267544.1	-0.20595884319514557	HIKESHIP2
ENSG00000255836.1	-0.19271103694474234	Gene symbol not found
ENSG00000197376.2	0.18973179030786264	Gene symbol not found
ENSG00000233429.9	0.18713195291735438	HOTAIRM1
ENSG00000088836.12	0.18163195317118708	SLC4A11
ENSG00000187013.4	0.17425429451534644	LINC02875
ENSG00000259124.1	-0.1740240426957866	Gene symbol not found
ENSG00000259792.1	0.17308942538458452	Gene symbol not found
ENSG00000267773.1	-0.17147607325347813	Gene symbol not found
ENSG00000163071.10	0.17020648925330778	SPATA18
ENSG00000207186.1	0.1700880827860396	RNA5SP122
ENSG00000280710.2	-0.1693475576505279	
ENSG00000267799.1	-0.16346013229567788	MAN1A2P1
ENSG00000228526.6	0.16136732626165035	MIR34AHG
ENSG00000278318.4	-0.15692202184125167	ZNF229
ENSG00000230453.9	0.15673612407428097	ANKRD18B
ENSG00000248476.1	-0.15535936419681287	BACH1-IT1
ENSG00000173908.8	-0.15402760627957351	KRT28
ENSG00000202517.1	-0.1519679367810088	Gene symbol not found
ENSG00000172426.15	-0.14879483869132584	RSPH9
ENSG00000214121.4	-0.1479600521029553	PRDX1P1
ENSG00000274904.1	-0.14665640498546528	Gene symbol not found
ENSG00000283377.1	-0.14512353901008948	Gene symbol not found
ENSG00000168418.7	0.14499932837119436	KCNG4
ENSG00000254294.1	-0.14490362441775861	IMPDH1P6
ENSG00000248646.1	-0.14419163157157908	
ENSG00000230931.2	-0.1414611621181765	GXYLT1P1
ENSG00000255794.7	0.13979799746886343	RMST
ENSG00000196862.9	-0.13930870520790836	RGPD4
ENSG00000277697.1	-0.13890133284581585	
ENSG00000273687.1	0.13772394102483523	Gene symbol not found
ENSG00000162722.8	-0.13680390625868805	TRIM58
ENSG00000225075.1	0.13568341348398322	Gene symbol not found
ENSG00000244308.2	-0.13517339480522836	RN7SL762P
ENSG00000207010.1	-0.13480527083698507	RNU6-318P
ENSG00000258550.1	-0.13465750703590953	OR7E106P
ENSG00000276556.1	-0.1345309995967496	Gene symbol not found
ENSG00000253642.5	0.13398272632050146	Gene symbol not found
ENSG00000259742.1	-0.13331251226388852	Gene symbol not found
ENSG00000236380.5	-0.13151237146574177	VENTXP7
ENSG00000164399.4	-0.13022807940218475	IL3
ENSG00000178343.4	0.13008266068229135	SHISA3
ENSG00000172680.1	-0.12931239637509304	MOS
ENSG00000224566.2	-0.1285968986345349	CIAO2AP2
ENSG00000214415.3	-0.12763019074913942	GNAT3
ENSG00000134982.16	-0.12565544322908687	APC
